TextKey,KR,EN,JP,CN
UI_Btn_Confirm,확인,Confirm,確認,确定
UI_Btn_Close,닫기,Close,閉じる,关闭
UI_Btn_Setting,설정,Setting,設定,设置
UI_Btn_Exit,나가기,Exit,退出,退出
UI_Setting_Title,설정,Setting,設定,设置
UI_Setting_Btn_Audio,사운드,Sound,サウンド,声音
UI_Setting_Btn_Language,언어,Language,言語,语言
UI_Setting_Audio_Title,사운드,Sound,サウンド,声音
UI_Setting_Audio_Master,전체 소리,Master,全体 音声,整体声音
UI_Setting_Audio_BGM,배경음악,BGM,背景音楽,背景音乐
UI_Setting_Audio_SFX,효과음,SFX,効果音,效果音
UI_Setting_Audio_VO,캐릭터 음성,VO,キャラクター 音声,卡通语音
UI_Setting_Language_Title,언어,Language,言語,语言
UI_Setting_Language_Dropdown_Title,게임 표시 언어,Game Display Language,ゲーム表示言語,游戏标识语言
UI_Setting_Language_Description,* 언어를 변경하면 즉시 게임 내 UI에 반영됩니다.,"* If you change the language, it will be immediately reflected in the in-game UI.",* 言語を変更すると、すぐにゲーム内UIに反映されます。,* 更改语言后会立即反映到游戏内的UI上。
UI_BM_TotalCoin_Title,보유 재화,Possession,所持資産,库存货物
UI_BM_Btn_Purchase,구매,Purchase,購買,购买
UI_BM_Btn_Refresh,새로고침,Refresh,リフレッシュ,重新装入
UI_BM_Btn_Savings,저축,Savings,貯蓄,储蓄
UI_BM_Btn_Membership,멤버십,Membership,メンバーシップ,成员资格
UI_BlackMarket_Purchase_RequiredAmount,필요 금액   ,Required Amount,必要金額   ,所需金额   
UI_BM_Savings_Title,블랙마켓 뱅크,Black Market Bank,ブラックマーケットバンク,黑市银行
UI_BM_Savings_CurrentLevel,현재 저축 단계,Current Savings Stage,現在の貯蓄段階,当前储蓄阶段
UI_BM_Savings_Accumulate,누적 저축액,Cumulative Savings,累積貯蓄額,累积储蓄额
UI_BM_Savings_TransactionAmount,거래 금액,Transaction Amount,取引金額,交易额
UI_BM_Savings_Btn_Deposit,저축,Save,貯蓄,储蓄
UI_BM_Savings_Btn_Withdraw,인출,Withdraw,出金,提取
UI_BM_Membership_Title,VIP 멤버십,VIP Membership,VIPメンバーシップ,贵宾会员
UI_BM_Membership_Description,더 높은 등급의 아이템과 오파츠를 만나보세요!,Meet higher-rated items and Oparts!,より高いランクのアイテムとオパーツに出会いましょう！,来看看更高等级的单品和OPATZ吧！
UI_BM_Membership_CurrentLevel,현재 멤버십 등급,Current Membership Rating,現在のメンバーシップ等級,当前会员级别
UI_BM_Membership_PromotionRequirment,다음 승급 요구 비용,next promotion requirement cost,次の昇格要求費用,下次升级要求费用
UI_BM_Membership_Btn_Upgrade,승급,Promotion,昇級,升级
NPC_Name_BlackMarket,블랙마켓 딜러,Black Market Dealer,闇市の売人,黑市商人
BM_Enter_01,어둠의 상점에 오신 것을 환영합니다.,Welcome to the shadow market.,闇の市場へようこそ。,欢迎来到地下黑市。
BM_Enter_02,"목숨을 건졌다면, 돈을 쓸 차례입니다.",Survived? Then it's time to spend.,生き延びたなら、金を使う番だ。,既然活下来了，就该花钱了。
BM_Exit_01,무운을 빌지요.,Hope you survive until next time.,生きてまた会えることを祈るよ。,希望下次还能见到活着的你。
BM_Greet_Norm_01,물건을 보시려면 돈부터 꺼내시죠.,Show me the coin first.,品物を見たければ、まずは金を出せ。,想看货的话，先把钱拿出来。
BM_Greet_VIP_01,"오, VIP 고객님. 어떤 귀한 물건을 찾아오셨습니까?","Ah, our VIP. What rare goods do you seek?",おお、VIPのお客様。どのような品をお探しで？,噢，VIP客人。您在寻找什么珍贵的货物？
BM_Greet_Poor_01,돈도 없는 놈이 기웃거리긴. 꺼져라.,Broke? Don't waste my time. Get lost.,金もない奴がうろつくな。消えろ。,没钱还敢来瞎逛。滚开。
BM_Ref_Disabled_01,저와의 신뢰가 부족하군요.<br>돈을 더 맡기셔야 합니다.,Not enough trust between us.<br>Deposit more first.,私との信頼が足りませんね。<br>もっと金を預けてください。,我们之间的信任还不够。<br>你需要存更多的钱。
BM_Ref_Locked_01,오늘 보여드릴 수 있는 물건은 다 바닥났습니다.,I've shown you all I have for today.,今日お見せできる品はもう底をつきました。,今天能给您看的货已经全没了。
BM_Ref_Success_01,뒷골목에서 갓 들어온 따끈따끈한 물건들입니다.,"Fresh goods, straight from the back alleys.",裏路地から届いたばかりの、新鮮な品です。,这些是刚从暗巷里搞来的新货。
BM_Buy_Success_01,탁월한 안목이군요. 후회하지 않으실 겁니다.,Excellent choice. You won't regret it.,素晴らしい眼力だ。後悔はしないでしょう。,眼光真不错。您不会后悔的。
BM_Buy_Success_02,거래가 아주 깔끔해서 좋군.,I like a smooth transaction.,スムーズな取引で実に良い。,我喜欢这么痛快的交易。
BM_Not_Enough_01,돈이 모자란 것 같군요. 장난하십니까?,Short on coin? Are you kidding me?,金が足りないようですね。ふざけているんですか？,钱好像不够啊。您在开玩笑吗？
BM_Not_Enough_02,거지는 사절입니다.,No beggars allowed.,乞食はお断りです。,乞丐谢绝入内。
BM_Deposit_01,안전하게 보관해 드리죠.<br>물론 제 수수료는 떼고 말입니다.,"Kept safe.<br>Minus my fee, of course.",安全に保管しておきましょう。<br>もちろん、私の手数料は引かせていただきますよ。,会为您安全保管的。<br>当然，得扣除我的手续费。
BM_Withdraw_01,여기 있습니다. 쓸데없는 곳에 낭비하지 마시길.,Here it is. Try not to waste it.,ほら。無駄なことに使わないように。,给您。希望您别浪费在无用的地方。
BM_Withdraw_Fail_01,혜택은 다 누려놓고 돈을 빼시겠다?<br>양심이 없으시군요.,You enjoyed the perks and now want your money back?<br>Shameless.,特典だけ享受して金を引き出すと？<br>良心がありませんね。,好处都占尽了还想取钱？<br>真是不讲良心。
BM_Mem_Up_01,훌륭합니다! 다음엔 더 확실한 물건을 준비해 두죠.,Splendid! I'll prepare better goods next time.,素晴らしい！次はもっと確実な品を用意しておきましょう。,太棒了！下次我会准备更好的货。
BM_Mem_Max_01,당신은 이미 이 바닥 최고의 VVIP입니다.,You're already the top VVIP around here.,あなたはすでに、この界隈で最高のVVIPです。,您已经是这一带最顶级的VVIP了。
Item_Name_1001,낡은 회중시계,Old Pocket Watch,古い懐中時計,破旧的怀表
Item_Info_1001,태엽이 감기지 않는 오래된 시계입니다.,An old watch that won't wind.,ゼンマイが巻けない古い時計です。,无法上发条的旧表。
Item_Name_1002,부서진 뼈 부적,Shattered Bone Amulet,砕けた骨のお守り,碎骨护身符
Item_Info_1002,미약한 힘이 남아있는 뼛조각입니다.,A bone fragment with a faint power remaining.,微かな力が残っている骨の欠片です。,残留着微弱力量的骨头碎片。
Item_Name_1003,핏빛 헝겊,Bloodstained Cloth,血まみれの布,血染的破布
Item_Info_1003,누군가의 피가 깊게 밴 천 조각입니다.,A piece of cloth deeply stained with blood.,誰かの血が深く染み込んだ布切れです。,深深浸透了鲜血的布块。
Item_Name_1004,은빛 늑대의 송곳니,Silver Wolf's Fang,銀狼の牙,银狼之牙
Item_Info_1004,야성의 힘이 깃들어 있습니다.,Imbued with the power of the wild.,野生の力が宿っています。,蕴含着野性的力量。
Item_Name_1005,이단자의 성인,Heretic's Holy Symbol,異端者の聖印,异端者的圣印
Item_Info_1005,교단에서 금지한 불길한 조각상입니다.,An ominous statue banned by the church.,教団から禁じられた不吉な彫像です。,被教团禁止的不详雕像。
Item_Name_1006,그을린 마녀의 재,Scorched Witch's Ashes,焦げた魔女の灰,烧焦的魔女骨灰
Item_Info_1006,마력이 타다 남은 흔적입니다.,The burnt remains of magical power.,魔力が燃え残った痕跡です。,魔力燃烧后残存的痕迹。
Item_Name_1007,심연의 눈동자,Eye of the Abyss,深淵の瞳,深渊之眼
Item_Info_1007,들여다보면 끝없는 어둠이 보입니다.,Looking into it reveals endless darkness.,覗き込むと果てしない闇が見えます。,凝视它便会看到无尽的黑暗。
Item_Name_1008,용맹한 기사의 심장,Heart of a Valiant Knight,勇猛な騎士の心臓,英勇骑士的心脏
Item_Info_1008,여전히 희미하게 고동치고 있습니다.,It still beats faintly.,未だに微かに鼓動しています。,依然在微弱地跳动着。
Item_Name_1009,잊혀진 왕의 왕관,Forgotten King's Crown,忘れられた王の王冠,被遗忘的王冠
Item_Info_1009,타락한 왕조의 잃어버린 영광이 담겨 있습니다.,Contains the lost glory of a fallen dynasty.,堕落した王朝の失われた栄光が込められています。,蕴含着堕落王朝失去的荣耀。
Item_Name_1010,태초의 불씨,Primeval Ember,太初の火種,初火的余烬
Item_Info_1010,결코 꺼지지 않는 영겁의 불꽃입니다.,An eternal flame that never goes out.,決して消えることのない永劫の炎です。,永不熄灭的永恒之火。
Item_Name_1011,녹슨 구리 열쇠,Rusty Copper Key,錆びた銅の鍵,生锈的铜钥匙
Item_Info_1011,어디에 쓰이는지 알 수 없는 낡은 열쇠입니다.,An old key with an unknown purpose.,何に使われるか分からない古い鍵です。,不知道有何用途的旧钥匙。
Item_Name_1012,깨진 거울 조각,Broken Mirror Shard,割れた鏡の破片,破碎的镜片
Item_Info_1012,불길한 기운을 내뿜는 거울 파편입니다.,A mirror shard emitting an ominous aura.,不吉な気を放つ鏡の破片です。,散发着不详气息的镜子碎片。
Item_Name_1013,말라비틀어진 약초,Withered Herb,干からびた薬草,枯萎的药草
Item_Info_1013,효능이 거의 남아있지 않은 약초입니다.,An herb with almost no efficacy left.,効能がほとんど残っていない薬草です。,几乎失去功效的药草。
Item_Name_1014,빛바랜 은화,Faded Silver Coin,色あせた銀貨,褪色的银币
Item_Info_1014,망자들의 노잣돈으로 쓰였던 동전입니다.,A coin used as a toll for the dead.,亡者たちの渡し銭として使われた硬貨です。,曾作为亡者买路钱的硬币。
Item_Name_1015,뼛가루 병,Bone Dust Vial,骨の粉の瓶,骨灰瓶
Item_Info_1015,정체불명의 뼛가루가 담겨 있습니다.,A vial containing unidentified bone dust.,正体不明の骨の粉が入っています。,装有不明骨灰的瓶子。
Item_Name_1016,처형인의 장갑,Executioner's Glove,処刑人の手袋,行刑者的手套
Item_Info_1016,수많은 목을 벤 자의 피가 배어 있습니다.,Stained with the blood of one who severed many heads.,数多くの首を刎ねた者の血が染み込んでいます。,沾满了斩首无数者鲜血的手套。
